"id","name","code","state_id:id","active","name_extension"
"biz_vn_address.district_1","Quận Ba Đình","1","base.state_vn_VN-HN","True","Quận Ba Đình,Q.Ba Đình,Q Ba Đình,Ba Đình,Ba Dinh,Quan Ba Dinh,badinh,quận ba đình,QUẬN BA ĐÌNH,Quận ba đình"
"biz_vn_address.district_2","Quận Hoàn Kiếm","2","base.state_vn_VN-HN","True","Quận Hoàn Kiếm,Q.Hoàn Kiếm,Q Hoàn Kiếm,Hoàn Kiếm,Hoan Kiem,Quan Hoan Kiem,hoankiem,quận hoàn kiếm,QUẬN HOÀN KIẾM,Quận hoàn kiếm"
"biz_vn_address.district_3","Quận Tây Hồ","3","base.state_vn_VN-HN","True","Quận Tây Hồ,Q.Tây Hồ,Q Tây Hồ,Tây Hồ,Tay Ho,Quan Tay Ho,tayho,quận tây hồ,QUẬN TÂY HỒ,Quận tây hồ"
"biz_vn_address.district_4","Quận Long Biên","4","base.state_vn_VN-HN","True","Quận Long Biên,Q.Long Biên,Q Long Biên,Long Biên,Long Bien,Quan Long Bien,longbien,quận long biên,QUẬN LONG BIÊN,Quận long biên"
"biz_vn_address.district_5","Quận Cầu Giấy","5","base.state_vn_VN-HN","True","Quận Cầu Giấy,Q.Cầu Giấy,Q Cầu Giấy,Cầu Giấy,Cau Giay,Quan Cau Giay,caugiay,quận cầu giấy,QUẬN CẦU GIẤY,Quận cầu giấy"
"biz_vn_address.district_6","Quận Đống Đa","6","base.state_vn_VN-HN","True","Quận Đống Đa,Q.Đống Đa,Q Đống Đa,Đống Đa,Dong Da,Quan Dong Da,dongda,quận đống đa,QUẬN ĐỐNG ĐA,Quận đống đa"
"biz_vn_address.district_7","Quận Hai Bà Trưng","7","base.state_vn_VN-HN","True","Quận Hai Bà Trưng,Q.Hai Bà Trưng,Q Hai Bà Trưng,Hai Bà Trưng,Hai Ba Trung,Quan Hai Ba Trung,haibatrung,quận hai bà trưng,QUẬN HAI BÀ TRƯNG,Quận hai bà trưng"
"biz_vn_address.district_8","Quận Hoàng Mai","8","base.state_vn_VN-HN","True","Quận Hoàng Mai,Q.Hoàng Mai,Q Hoàng Mai,Hoàng Mai,Hoang Mai,Quan Hoang Mai,hoangmai,quận hoàng mai,QUẬN HOÀNG MAI,Quận hoàng mai"
"biz_vn_address.district_9","Quận Thanh Xuân","9","base.state_vn_VN-HN","True","Quận Thanh Xuân,Q.Thanh Xuân,Q Thanh Xuân,Thanh Xuân,QTX,wut,wow,Thanh Xuan,Quan Thanh Xuan,thanhxuan,quận thanh xuân,QUẬN THANH XUÂN,Quận thanh xuân"
"biz_vn_address.district_16","Huyện Sóc Sơn","16","base.state_vn_VN-HN","True","Huyện Sóc Sơn,H.Sóc Sơn,H Sóc Sơn,Sóc Sơn,Soc Son,Huyen Soc Son,socson,huyện sóc sơn,HUYỆN SÓC SƠN,Huyện sóc sơn"
"biz_vn_address.district_17","Huyện Đông Anh","17","base.state_vn_VN-HN","True","Huyện Đông Anh,H.Đông Anh,H Đông Anh,Đông Anh,Dong Anh,Huyen Dong Anh,donganh,huyện đông anh,HUYỆN ĐÔNG ANH,Huyện đông anh"
"biz_vn_address.district_18","Huyện Gia Lâm","18","base.state_vn_VN-HN","True","Huyện Gia Lâm,H.Gia Lâm,H Gia Lâm,Gia Lâm,Gia Lam,Huyen Gia Lam,gialam,huyện gia lâm,HUYỆN GIA LÂM,Huyện gia lâm"
"biz_vn_address.district_19","Quận Nam Từ Liêm","19","base.state_vn_VN-HN","True","Quận Nam Từ Liêm,Q.Nam Từ Liêm,Q Nam Từ Liêm,Nam Từ Liêm,Nam Tu Liem,Quan Nam Tu Liem,namtuliem,quận nam từ liêm,QUẬN NAM TỪ LIÊM,Quận nam từ liêm"
"biz_vn_address.district_20","Huyện Thanh Trì","20","base.state_vn_VN-HN","True","Huyện Thanh Trì,H.Thanh Trì,H Thanh Trì,Thanh Trì,Thanh Tri,Huyen Thanh Tri,thanhtri,huyện thanh trì,HUYỆN THANH TRÌ,Huyện thanh trì"
"biz_vn_address.district_21","Quận Bắc Từ Liêm","21","base.state_vn_VN-HN","True","Quận Bắc Từ Liêm,Q.Bắc Từ Liêm,Q Bắc Từ Liêm,Bắc Từ Liêm,Bac Tu Liem,Quan Bac Tu Liem,bactuliem,quận bắc từ liêm,QUẬN BẮC TỪ LIÊM,Quận bắc từ liêm"
"biz_vn_address.district_250","Huyện Mê Linh","250","base.state_vn_VN-HN","True","Huyện Mê Linh,H.Mê Linh,H Mê Linh,Mê Linh,Me Linh,Huyen Me Linh,melinh,huyện mê linh,HUYỆN MÊ LINH,Huyện mê linh"
"biz_vn_address.district_268","Quận Hà Đông","268","base.state_vn_VN-HN","True","Quận Hà Đông,Q.Hà Đông,Q Hà Đông,Hà Đông,Ha Dong,Quan Ha Dong,hadong,quận hà đông,QUẬN HÀ ĐÔNG,Quận hà đông"
"biz_vn_address.district_269","Thị xã Sơn Tây","269","base.state_vn_VN-HN","True","Thị xã Sơn Tây,TX.Sơn Tây,TX Sơn Tây,Sơn Tây,Son Tay,Thi xa Son Tay,sontay,thị xã sơn tây,THỊ XÃ SƠN TÂY,Thị xã sơn tây"
"biz_vn_address.district_271","Huyện Ba Vì","271","base.state_vn_VN-HN","True","Huyện Ba Vì,H.Ba Vì,H Ba Vì,Ba Vì,Ba Vi,Huyen Ba Vi,bavi,huyện ba vì,HUYỆN BA VÌ,Huyện ba vì"
"biz_vn_address.district_272","Huyện Phúc Thọ","272","base.state_vn_VN-HN","True","Huyện Phúc Thọ,H.Phúc Thọ,H Phúc Thọ,Phúc Thọ,Phuc Tho,Huyen Phuc Tho,phuctho,huyện phúc thọ,HUYỆN PHÚC THỌ,Huyện phúc thọ"
"biz_vn_address.district_273","Huyện Đan Phượng","273","base.state_vn_VN-HN","True","Huyện Đan Phượng,H.Đan Phượng,H Đan Phượng,Đan Phượng,Dan Phuong,Huyen Dan Phuong,danphuong,huyện đan phượng,HUYỆN ĐAN PHƯỢNG,Huyện đan phượng"
"biz_vn_address.district_274","Huyện Hoài Đức","274","base.state_vn_VN-HN","True","Huyện Hoài Đức,H.Hoài Đức,H Hoài Đức,Hoài Đức,Hoai Duc,Huyen Hoai Duc,hoaiduc,huyện hoài đức,HUYỆN HOÀI ĐỨC,Huyện hoài đức"
"biz_vn_address.district_275","Huyện Quốc Oai","275","base.state_vn_VN-HN","True","Huyện Quốc Oai,H.Quốc Oai,H Quốc Oai,Quốc Oai,Quoc Oai,Huyen Quoc Oai,quocoai,huyện quốc oai,HUYỆN QUỐC OAI,Huyện quốc oai"
"biz_vn_address.district_276","Huyện Thạch Thất","276","base.state_vn_VN-HN","True","Huyện Thạch Thất,H.Thạch Thất,H Thạch Thất,Thạch Thất,Thach That,Huyen Thach That,thachthat,huyện thạch thất,HUYỆN THẠCH THẤT,Huyện thạch thất"
"biz_vn_address.district_277","Huyện Chương Mỹ","277","base.state_vn_VN-HN","True","Huyện Chương Mỹ,H.Chương Mỹ,H Chương Mỹ,Chương Mỹ,Chuong My,Huyen Chuong My,chuongmy,huyện chương mỹ,HUYỆN CHƯƠNG MỸ,Huyện chương mỹ"
"biz_vn_address.district_278","Huyện Thanh Oai","278","base.state_vn_VN-HN","True","Huyện Thanh Oai,H.Thanh Oai,H Thanh Oai,Thanh Oai,Huyen Thanh Oai,thanhoai,huyện thanh oai,HUYỆN THANH OAI,Huyện thanh oai"
"biz_vn_address.district_279","Huyện Thường Tín","279","base.state_vn_VN-HN","True","Huyện Thường Tín,H.Thường Tín,H Thường Tín,Thường Tín,Thuong Tin,Huyen Thuong Tin,thuongtin,huyện thường tín,HUYỆN THƯỜNG TÍN,Huyện thường tín"
"biz_vn_address.district_280","Huyện Phú Xuyên","280","base.state_vn_VN-HN","True","Huyện Phú Xuyên,H.Phú Xuyên,H Phú Xuyên,Phú Xuyên,Phu Xuyen,Huyen Phu Xuyen,phuxuyen,huyện phú xuyên,HUYỆN PHÚ XUYÊN,Huyện phú xuyên"
"biz_vn_address.district_281","Huyện Ứng Hòa","281","base.state_vn_VN-HN","True","Huyện Ứng Hòa,H.Ứng Hòa,H Ứng Hòa,Ứng Hòa,Ung Hoa,Huyen Ung Hoa,unghoa,huyện ứng hòa,HUYỆN ỨNG HÒA,Huyện ứng hòa"
"biz_vn_address.district_282","Huyện Mỹ Đức","282","base.state_vn_VN-HN","True","Huyện Mỹ Đức,H.Mỹ Đức,H Mỹ Đức,Mỹ Đức,My Duc,Huyen My Duc,myduc,huyện mỹ đức,HUYỆN MỸ ĐỨC,Huyện mỹ đức"
"biz_vn_address.district_24","Thành phố Hà Giang","24","base.state_vn_VN-03","True","Thành phố Hà Giang,TP.Hà Giang,TP Hà Giang,Hà Giang,Ha Giang,Thanh pho Ha Giang,hagiang,thành phố hà giang,THÀNH PHỐ HÀ GIANG,Thành phố hà giang"
"biz_vn_address.district_26","Huyện Đồng Văn","26","base.state_vn_VN-03","True","Huyện Đồng Văn,H.Đồng Văn,H Đồng Văn,Đồng Văn,Dong Van,Huyen Dong Van,dongvan,huyện đồng văn,HUYỆN ĐỒNG VĂN,Huyện đồng văn"
"biz_vn_address.district_27","Huyện Mèo Vạc","27","base.state_vn_VN-03","True","Huyện Mèo Vạc,H.Mèo Vạc,H Mèo Vạc,Mèo Vạc,Meo Vac,Huyen Meo Vac,meovac,huyện mèo vạc,HUYỆN MÈO VẠC,Huyện mèo vạc"
"biz_vn_address.district_28","Huyện Yên Minh","28","base.state_vn_VN-03","True","Huyện Yên Minh,H.Yên Minh,H Yên Minh,Yên Minh,Yen Minh,Huyen Yen Minh,yenminh,huyện yên minh,HUYỆN YÊN MINH,Huyện yên minh"
"biz_vn_address.district_29","Huyện Quản Bạ","29","base.state_vn_VN-03","True","Huyện Quản Bạ,H.Quản Bạ,H Quản Bạ,Quản Bạ,Quan Ba,Huyen Quan Ba,quanba,huyện quản bạ,HUYỆN QUẢN BẠ,Huyện quản bạ"
"biz_vn_address.district_30","Huyện Vị Xuyên","30","base.state_vn_VN-03","True","Huyện Vị Xuyên,H.Vị Xuyên,H Vị Xuyên,Vị Xuyên,Vi Xuyen,Huyen Vi Xuyen,vixuyen,huyện vị xuyên,HUYỆN VỊ XUYÊN,Huyện vị xuyên"
"biz_vn_address.district_31","Huyện Bắc Mê","31","base.state_vn_VN-03","True","Huyện Bắc Mê,H.Bắc Mê,H Bắc Mê,Bắc Mê,Bac Me,Huyen Bac Me,bacme,huyện bắc mê,HUYỆN BẮC MÊ,Huyện bắc mê"
"biz_vn_address.district_32","Huyện Hoàng Su Phì","32","base.state_vn_VN-03","True","Huyện Hoàng Su Phì,H.Hoàng Su Phì,H Hoàng Su Phì,Hoàng Su Phì,Hoang Su Phi,Huyen Hoang Su Phi,hoangsuphi,huyện hoàng su phì,HUYỆN HOÀNG SU PHÌ,Huyện hoàng su phì"
"biz_vn_address.district_33","Huyện Xín Mần","33","base.state_vn_VN-03","True","Huyện Xín Mần,H.Xín Mần,H Xín Mần,Xín Mần,Xin Man,Huyen Xin Man,xinman,huyện xín mần,HUYỆN XÍN MẦN,Huyện xín mần"
"biz_vn_address.district_34","Huyện Bắc Quang","34","base.state_vn_VN-03","True","Huyện Bắc Quang,H.Bắc Quang,H Bắc Quang,Bắc Quang,Bac Quang,Huyen Bac Quang,bacquang,huyện bắc quang,HUYỆN BẮC QUANG,Huyện bắc quang"
"biz_vn_address.district_35","Huyện Quang Bình","35","base.state_vn_VN-03","True","Huyện Quang Bình,H.Quang Bình,H Quang Bình,Quang Bình,Quang Binh,Huyen Quang Binh,quangbinh,huyện quang bình,HUYỆN QUANG BÌNH,Huyện quang bình"
"biz_vn_address.district_40","Thành phố Cao Bằng","40","base.state_vn_VN-04","True","Thành phố Cao Bằng,TP.Cao Bằng,TP Cao Bằng,Cao Bằng,Cao Bang,Thanh pho Cao Bang,caobang,thành phố cao bằng,THÀNH PHỐ CAO BẰNG,Thành phố cao bằng"
"biz_vn_address.district_42","Huyện Bảo Lâm","42","base.state_vn_VN-04","True","Huyện Bảo Lâm,H.Bảo Lâm,H Bảo Lâm,Bảo Lâm,Bao Lam,Huyen Bao Lam,baolam,huyện bảo lâm,HUYỆN BẢO LÂM,Huyện bảo lâm"
"biz_vn_address.district_43","Huyện Bảo Lạc","43","base.state_vn_VN-04","True","Huyện Bảo Lạc,H.Bảo Lạc,H Bảo Lạc,Bảo Lạc,Bao Lac,Huyen Bao Lac,baolac,huyện bảo lạc,HUYỆN BẢO LẠC,Huyện bảo lạc"
"biz_vn_address.district_44","Huyện Thông Nông","44","base.state_vn_VN-04","True","Huyện Thông Nông,H.Thông Nông,H Thông Nông,Thông Nông,Thong Nong,Huyen Thong Nong,thongnong,huyện thông nông,HUYỆN THÔNG NÔNG,Huyện thông nông"
"biz_vn_address.district_45","Huyện Hà Quảng","45","base.state_vn_VN-04","True","Huyện Hà Quảng,H.Hà Quảng,H Hà Quảng,Hà Quảng,Ha Quang,Huyen Ha Quang,haquang,huyện hà quảng,HUYỆN HÀ QUẢNG,Huyện hà quảng"
"biz_vn_address.district_46","Huyện Trà Lĩnh","46","base.state_vn_VN-04","True","Huyện Trà Lĩnh,H.Trà Lĩnh,H Trà Lĩnh,Trà Lĩnh,Tra Linh,Huyen Tra Linh,tralinh,huyện trà lĩnh,HUYỆN TRÀ LĨNH,Huyện trà lĩnh"
"biz_vn_address.district_47","Huyện Trùng Khánh","47","base.state_vn_VN-04","True","Huyện Trùng Khánh,H.Trùng Khánh,H Trùng Khánh,Trùng Khánh,Trung Khanh,Huyen Trung Khanh,trungkhanh,huyện trùng khánh,HUYỆN TRÙNG KHÁNH,Huyện trùng khánh"
"biz_vn_address.district_48","Huyện Hạ Lang","48","base.state_vn_VN-04","True","Huyện Hạ Lang,H.Hạ Lang,H Hạ Lang,Hạ Lang,Ha Lang,Huyen Ha Lang,halang,huyện hạ lang,HUYỆN HẠ LANG,Huyện hạ lang"
