"id","name","code","name_extension","country_id:id"
"base.state_vn_VN-01","Lai Châu","VN-01","Lai Châu,Tỉnh Lai Châu,T.Lai Châu,T Lai Châu,laichau","base.vn"
"base.state_vn_VN-02","Lào Cai","VN-02","Lào Cai,Tỉnh Lào Cai,T.Lào Cai,T Lào Cai,laocai","base.vn"
"base.state_vn_VN-03","Hà Giang","VN-03","Hà Giang,Tỉnh Hà Giang,T.Hà Giang,T Hà Giang,hagiang","base.vn"
"base.state_vn_VN-04","Cao Bằng","VN-04","Cao Bằng,Tỉnh Cao Bằng,T.Cao Bằng,T Cao Bằng,caobang","base.vn"
"base.state_vn_VN-05","Sơn La","VN-05","Sơn La,Tỉnh Sơn La,T.Sơn La,T Sơn La,sonla","base.vn"
"base.state_vn_VN-06","Yên Bái","VN-06","Yên Bái,Tỉnh Yên Bái,T.Yên Bái,T Yên Bái,yenbai","base.vn"
"base.state_vn_VN-07","Tuyên Quang","VN-07","Tuyên Quang,Tỉnh Tuyên Quang,T.Tuyên Quang,T Tuyên Quang,tuyenquang","base.vn"
"base.state_vn_VN-09","Lạng Sơn","VN-09","Lạng Sơn,Tỉnh Lạng Sơn,T.Lạng Sơn,T Lạng Sơn,langson","base.vn"
"base.state_vn_VN-13","Quảng Ninh","VN-13","Quảng Ninh,Tỉnh Quảng Ninh,T.Quảng Ninh,T Quảng Ninh,quangninh","base.vn"
"base.state_vn_VN-14","Hòa Bình","VN-14","Hòa Bình,Tỉnh Hòa Bình,T.Hòa Bình,T Hòa Bình,hoabinh","base.vn"
"base.state_vn_VN-18","Ninh Bình","VN-18","Ninh Bình,Tỉnh Ninh Bình,T.Ninh Bình,T Ninh Bình,ninhbinh","base.vn"
"base.state_vn_VN-20","Thái Bình","VN-20","Thái Bình,Tỉnh Thái Bình,T.Thái Bình,T Thái Bình,thaibinh","base.vn"
"base.state_vn_VN-21","Thanh Hóa","VN-21","Thanh Hóa,Tỉnh Thanh Hóa,T.Thanh Hóa,T Thanh Hóa,thanhhoa","base.vn"
"base.state_vn_VN-22","Nghệ An","VN-22","Nghệ An,Tỉnh Nghệ An,T.Nghệ An,T Nghệ An,nghean","base.vn"
