"id","name","code","district_id:id","state_id:id","active","name_extension"
"biz_vn_address.wards_1","Phường Phúc Xá","1","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Phúc Xá,P.Phúc Xá,P Phúc Xá,Phúc Xá,Phuc Xa,Phuong Phuc Xa,phucxa,phường phúc xá,PHƯỜNG PHÚC XÁ,Phường phúc xá"
"biz_vn_address.wards_4","Phường Trúc Bạch","4","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Trúc Bạch,P.Trúc Bạch,P Trúc Bạch,Trúc Bạch,Truc Bach,Phuong Truc Bach,trucbach,phường trúc bạch,PHƯỜNG TRÚC BẠCH,Phường trúc bạch"
"biz_vn_address.wards_6","Phường Vĩnh Phúc","6","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Vĩnh Phúc,P.Vĩnh Phúc,P Vĩnh Phúc,Vĩnh Phúc,Vinh Phuc,Phuong Vinh Phuc,vinhphuc,phường vĩnh phúc,PHƯỜNG VĨNH PHÚC,Phường vĩnh phúc"
"biz_vn_address.wards_7","Phường Cống Vị","7","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Cống Vị,P.Cống Vị,P Cống Vị,Cống Vị,Cong Vi,Phuong Cong Vi,congvi,phường cống vị,PHƯỜNG CỐNG VỊ,Phường cống vị"
"biz_vn_address.wards_8","Phường Liễu Giai","8","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Liễu Giai,P.Liễu Giai,P Liễu Giai,Liễu Giai,Lieu Giai,Phuong Lieu Giai,lieugiai,phường liễu giai,PHƯỜNG LIỄU GIAI,Phường liễu giai"
"biz_vn_address.wards_10","Phường Nguyễn Trung Trực","10","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Nguyễn Trung Trực,P.Nguyễn Trung Trực,P Nguyễn Trung Trực,Nguyễn Trung Trực,Nguyen Trung Truc,Phuong Nguyen Trung Truc,nguyentrungtruc,phường nguyễn trung trực,PHƯỜNG NGUYỄN TRUNG TRỰC,Phường nguyễn trung trực"
"biz_vn_address.wards_13","Phường Quán Thánh","13","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Quán Thánh,P.Quán Thánh,P Quán Thánh,Quán Thánh,Quan Thanh,Phuong Quan Thanh,quanthanh,phường quán thánh,PHƯỜNG QUÁN THÁNH,Phường quán thánh"
"biz_vn_address.wards_16","Phường Ngọc Hà","16","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Ngọc Hà,P.Ngọc Hà,P Ngọc Hà,Ngọc Hà,Ngoc Ha,Phuong Ngoc Ha,ngocha,phường ngọc hà,PHƯỜNG NGỌC HÀ,Phường ngọc hà"
"biz_vn_address.wards_19","Phường Điện Biên","19","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Điện Biên,P.Điện Biên,P Điện Biên,Điện Biên,Dien Bien,Phuong Dien Bien,dienbien,phường điện biên,PHƯỜNG ĐIỆN BIÊN,Phường điện biên"
"biz_vn_address.wards_22","Phường Đội Cấn","22","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Đội Cấn,P.Đội Cấn,P Đội Cấn,Đội Cấn,Doi Can,Phuong Doi Can,doican,phường đội cấn,PHƯỜNG ĐỘI CẤN,Phường đội cấn"
"biz_vn_address.wards_25","Phường Ngọc Khánh","25","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Ngọc Khánh,P.Ngọc Khánh,P Ngọc Khánh,Ngọc Khánh,Ngoc Khanh,Phuong Ngoc Khanh,ngockhanh,phường ngọc khánh,PHƯỜNG NGỌC KHÁNH,Phường ngọc khánh"
"biz_vn_address.wards_28","Phường Kim Mã","28","biz_vn_address.district_1","base.state_vn_VN-HN","True","Phường Kim Mã,P.Kim Mã,P Kim Mã,Kim Mã,Kim Ma,Phuong Kim Ma,kimma,phường kim mã,PHƯỜNG KIM MÃ,Phường kim mã"
